sample_name,N,Nadd,Block,Nlevel,DOC,DN,NH4,NO3,IN,LIN,AP,pH,CEC,Cu,Fe,Mn,Zn,Ca,K,Mg,Na,Plant.biomass,Plant.richness,DNA,chiA,AOA,AOB,nirK,nirS,nosZ,KO.richness,OTU.richness,CN.ratio,lgt,lgtko,virus,OTU.shannon,KO.shannon
YN00_1,N0,Ncont,B1,0,38.74088297,9.838434718,1.1051422,1.89659775,3.00173995,0.477373065,2.35,7.12,7.069359476,0.307,10.4912,8.722,0.391,2233.2,263.2,190.22,4.348,148.69,12,6.625,42205673.64,37898724.99,246388.9536,168058.7306,251406.98,315821.568,9466,2563,12.90614231,55,3445,4.032743254,6.708174861,8.033371244
YN00_2,N0,Ncont,B2,0,42.14252495,12.65113542,1.436472109,1.336130308,2.772602417,0.442887597,1.9,7.33,8.602052285,0.2864,7.4452,6.628,0.9354,2771.2,308,208.2,3.866,153.88,16,8.441176471,53609674.11,34258407.97,59364.22798,120061.1192,238185.57,312561.5784,9460,2600,15.19962786,33,3312,4.039593798,6.716757356,8.034741369
YN00_3,N0,Ncont,B3,0,47.75377024,10.87496232,0.963907539,2.339371106,3.303278645,0.51894521,2.9,7.26,9.347689298,0.2484,9.8172,9.092,0.4174,2903.2,397,247,9.792,163.21,14,13.4,50691782.47,48476527.22,201194.9703,295218.5488,518933.2783,449729.4123,9518,2630,14.45647654,29,3273,3.967479759,6.766402275,8.031830318
YN00_4,N0,Ncont,B4,0,65.67374468,11.88000575,1.917866975,1.917866975,3.83573395,0.583848476,2.05,7.67,10.33485474,0.2236,8.1052,5.696,0.6284,3533.2,233,212.2,4.658,100.07,10,10.71875,47523546.06,22426128.7,253060.5904,160511.4877,273935.9571,340546.0933,9517,2556,17.12155888,40,3402,3.925992889,6.710171084,8.03928131
YN02_1,N02,Ncont,B1,2,38.18954872,11.49223089,1.732378998,3.143389139,4.875768137,0.688043045,2.4,6.79,7.249465496,0.3782,14.2832,12.138,0.5624,2240.2,289,210.62,6.982,186.84,9,10.9,58158492.97,57741526.78,526423.5793,172339.7871,333440.8919,464077.4935,9607,2410,7.83251944,32,3305,4.016119065,6.579902711,8.038107758
YN02_2,N02,Ncont,B2,2,40.50761449,12.60433142,1.583939742,1.94045351,3.524393252,0.547084361,1.9,7.75,10.32372598,0.2726,7.0832,5.814,0.4976,3537.2,251,193.84,6.778,187.3,11,8.194444444,57010859.16,24556452.12,163242.2566,133612.3227,234042.2105,326405.5219,9498,2351,11.49350018,35,3374,4.13359959,6.645388059,8.035542483
YN02_3,N02,Ncont,B3,2,55.65620697,12.01846319,1.250097228,3.133023759,4.383120987,0.641783459,2.25,7.86,8.311026031,0.1954,7.1292,6.006,0.332,2855.2,204.8,150.42,4.864,296.55,11,11.24,40786563.58,25603553.36,343986.8772,130622.265,293392.1808,318415.1459,9668,2378,12.69784866,42,3395,3.986020945,6.527274111,8.04170444
YN02_4,N02,Ncont,B4,2,60.72576754,15.50000874,2.592391079,5.195363346,7.787754425,0.891412248,2.3,7.62,11.74576544,0.2358,9.8592,6.278,0.6006,4111.2,239,200.8,4.204,341.04,5,11.95652174,42702581.47,30578220.68,1052885.857,183403.2428,302499.2279,316968.487,9489,2571,7.797596615,43,3377,4.031449201,6.611736931,8.040883844
YN02_5,N02,Ncont,B5,2,35.85946401,7.940878371,1.477595182,2.263886904,3.741482086,0.57304367,4.35,6.68,6.386282943,0.3208,14.9132,14.318,0.4494,1969.4,232.4,203,4.842,184.15,10,23.85294118,123029478.9,300873464.9,385260.6786,212526.9542,515656.9125,660007.5744,9397,2224,9.58429392,35,3327,3.990970391,6.717450166,8.031350517
YN05_1,N05,Ncont,B1,5,50.54133247,11.85954777,2.407916375,3.049685132,5.457601507,0.737001822,2.45,6.41,6.188881327,0.4066,22.5392,18.108,0.39,1868.6,272.2,195.66,0.962,214.91,14,8.32,42609339.4,40726567.26,496691.8412,124756.2326,250402.8244,455492.0211,9642,2500,9.26072239,36,3403,4.036358448,6.383267856,8.042778478
YN05_2,N05,Ncont,B2,5,43.91804637,35.37676102,15.81601908,11.3703246,27.18634368,1.434350803,2.65,6.81,8.200817837,0.3594,16.3132,12.908,0.269,2633.2,251.8,227.6,5.484,163.79,11,7.5625,53846734.12,28189176.25,3224313.726,130101.8438,179538.4794,287424.7346,9672,2562,1.615445125,55,3444,4.269346015,6.612776376,8.046942291
YN05_3,N05,Ncont,B3,5,59.35470474,13.30064942,2.177894295,3.173358741,5.351253036,0.728455487,3.5,6.86,8.371653735,0.272,16.9832,13.058,0.2784,2745.2,222.2,221.2,3.966,170.67,9,10.93103448,33031923.36,19953589.98,1120333.317,110409.6659,238334.5774,434178.4602,9784,2433,11.09173951,38,3423,4.232539222,6.683719291,8.0516428
YN05_4,N05,Ncont,B4,5,68.59774549,15.53721651,3.322118083,4.464096174,7.786214257,0.89132635,2.4,7.6,10.2991971,0.2722,10.9892,7.926,0.4258,3577.2,221,185.28,4.032,239.14,10,25.44,81584480.34,153248544,1901743.907,356595.2841,816285.3644,738796.2666,9691,2510,8.810153847,57,3598,3.173036609,6.622569017,8.050294718
YN05_5,N05,Ncont,B5,5,47.16645876,10.20750748,2.6846088,3.509488599,6.194097399,0.79197803,5.25,6.21,6.001127759,0.4042,21.3992,19.98,0.4506,1810.2,257.2,192.28,3.444,181.55,12,27.41935484,111879525.1,213112637,880972.2143,420818.6682,707877.2029,775661.8236,9412,2594,7.61474283,44,3430,4.187801031,6.68927054,8.044849477
YN10_1,N10,Ncont,B1,10,48.19211838,60.09779837,43.59824372,25.32869921,68.92694293,1.838389017,3.5,5.58,6.466335229,0.4664,27.0592,34.3,0.3722,1906.2,311.6,211.2,5.028,218.51,8,7.366666667,29810743.96,25758382.47,4770965.119,129108.3653,140421.852,391686.6263,10150,2484,0.699176785,44,3661,4.185316147,6.725082417,8.065348804
YN10_2,N10,Ncont,B2,10,44.26516735,28.93261043,9.954009909,7.367968139,17.32197805,1.238597484,2.15,6.44,8.082338796,0.4212,18.6452,19.302,0.2404,2589.2,230.4,241.8,2.546,242.1,9,9.25,56274231.52,30924317.01,2766443.769,321505.7745,245790.1632,429105.4706,9924,2587,2.555433751,37,3473,4.118289022,6.727875037,8.054364797
YN10_3,N10,Ncont,B3,10,68.83362868,19.60628172,2.026229803,8.120545663,10.14677547,1.00632805,2.6,6.82,9.477578484,0.321,16.7452,13.336,0.3386,3043.2,353.4,222.2,8.646,503.81,15,7.942857143,40565140.26,19429647.99,2271889.528,151649.7142,276526.5249,511396.1345,9845,2405,6.783793421,50,3497,4.229957784,6.741555302,8.053763779
YN10_4,N10,Ncont,B4,10,59.36247553,23.03079957,11.62728271,9.029375032,20.65665774,1.315060054,2.55,6.22,8.125449833,0.3248,22.9792,22.18,0.4284,2647.2,198.4,230.2,9.1,235.33,10,23.71428571,65505321.02,145368751.3,4686609.76,494259.5115,523927.5713,1168262.378,9663,2451,2.873769623,55,3466,4.287754674,6.617744881,8.056169193
YN10_5,N10,Ncont,B5,10,56.82216275,21.15064505,15.9449598,9.304267161,25.24922696,1.402248086,5.75,5.48,5.982082776,0.4794,36.4192,44.16,0.5018,1759,290.4,197.7,3.73,320.87,7,25.15,119961877,143445051.1,5664593.737,579580.7393,426875.0833,1469924.722,10002,2367,2.250451582,62,3668,4.213797918,6.643535316,8.062863631
