#ID,Annotation,Annotation1,group,ratio,sig
1,Arginine.biosynthesis,Arginine.biosynthesis,Ncont,2.382499073,significant
2,Biofilm.formation,Biofilm.formation.-.Pseudomonas.aeruginosa,Ncont,0,non-significant
3,Biosynthesis.of.enediyne.antibiotics,Biosynthesis.of.enediyne.antibiotics,Ncont,2.461915709,significant
4,Biosynthesis.of.type.II.polyketide.products,Biosynthesis.of.type.II.polyketide.products,Ncont,0,non-significant
5,Flavonoid.biosynthesis,Flavonoid.biosynthesis,Ncont,4.616091954,significant
6,Glycosphingolipid.biosynthesis,Glycosphingolipid.biosynthesis.-.ganglio.series,Ncont,4.616091954,significant
7,Phagosome,Phagosome,Ncont,4.616091954,significant
8,Sphingolipid.metabolism,Sphingolipid.metabolism,Ncont,0,non-significant
9,Staurosporine.biosynthesis,Staurosporine.biosynthesis,Ncont,4.616091954,significant
10,Steroid.hormone.biosynthesis,Steroid.hormone.biosynthesis,Ncont,4.616091954,significant
11,Stilbenoid.diarylheptanoid.and.gingerol.biosynthesis,Stilbenoid.diarylheptanoid.and.gingerol.biosynthesis,Ncont,4.616091954,significant
12,Tetracycline.biosynthesis,Tetracycline.biosynthesis,Ncont,3.692873563,significant
13,Arginine.biosynthesis,Arginine.biosynthesis,Ncess,2.423117443,significant
14,Biofilm.formation,Biofilm.formation.-.Pseudomonas.aeruginosa,Ncess,1.997782999,significant
15,Biosynthesis.of.enediyne.antibiotics,Biosynthesis.of.enediyne.antibiotics,Ncess,3.576982893,significant
16,Biosynthesis.of.type.II.polyketide.products,Biosynthesis.of.type.II.polyketide.products,Ncess,3.755832037,significant
17,Flavonoid.biosynthesis,Flavonoid.biosynthesis,Ncess,6.259720062,significant
18,Glycosphingolipid.biosynthesis,Glycosphingolipid.biosynthesis.-.ganglio.series,Ncess,6.259720062,significant
19,Phagosome,Phagosome,Ncess,6.259720062,significant
20,Sphingolipid.metabolism,Sphingolipid.metabolism,Ncess,3.129860031,significant
21,Staurosporine.biosynthesis,Staurosporine.biosynthesis,Ncess,6.259720062,significant
22,Steroid.hormone.biosynthesis,Steroid.hormone.biosynthesis,Ncess,0,non-significant
23,Stilbenoid.diarylheptanoid.and.gingerol.biosynthesis,Stilbenoid.diarylheptanoid.and.gingerol.biosynthesis,Ncess,6.259720062,significant
24,Tetracycline.biosynthesis,Tetracycline.biosynthesis,Ncess,5.00777605,significant
